reg;semaine;nb_crib;nb_pos;tx_crib;nb_A0;nb_A1;tx_A1;nb_B0;nb_B1;tx_B1;nb_C0;nb_C1;tx_C1
03;2021-06-11-2021-06-17;482.00;1132.00;42.60;39.00;415.00;91.40;454.00;0.00;0.00;454.00;1.00;0.20
03;2021-06-12-2021-06-18;458.00;1085.00;42.20;39.00;389.00;90.90;428.00;0.00;0.00;429.00;1.00;0.20
03;2021-06-13-2021-06-19;440.00;1042.00;42.20;38.00;373.00;90.80;411.00;0.00;0.00;412.00;1.00;0.20
03;2021-06-14-2021-06-20;440.00;1047.00;42.00;38.00;373.00;90.80;411.00;0.00;0.00;412.00;1.00;0.20
03;2021-06-15-2021-06-21;382.00;1001.00;38.20;34.00;321.00;90.40;355.00;0.00;0.00;356.00;0.00;0.00
03;2021-06-16-2021-06-22;405.00;985.00;41.10;34.00;345.00;91.00;378.00;0.00;0.00;378.00;0.00;0.00
03;2021-06-17-2021-06-23;400.00;920.00;43.50;33.00;342.00;91.20;374.00;0.00;0.00;374.00;0.00;0.00
03;2021-06-18-2021-06-24;394.00;913.00;43.20;32.00;334.00;91.30;365.00;0.00;0.00;365.00;0.00;0.00
03;2021-06-19-2021-06-25;384.00;895.00;42.90;28.00;326.00;92.10;353.00;0.00;0.00;353.00;0.00;0.00
03;2021-06-20-2021-06-26;382.00;883.00;43.30;29.00;323.00;91.80;351.00;0.00;0.00;351.00;0.00;0.00
03;2021-06-21-2021-06-27;382.00;867.00;44.10;29.00;323.00;91.80;351.00;0.00;0.00;351.00;0.00;0.00
03;2021-06-22-2021-06-28;376.00;792.00;47.50;38.00;313.00;89.20;350.00;0.00;0.00;350.00;0.00;0.00
03;2021-06-23-2021-06-29;310.00;742.00;41.80;28.00;266.00;90.50;294.00;0.00;0.00;293.00;1.00;0.30
03;2021-06-24-2021-06-30;318.00;722.00;44.00;25.00;273.00;91.60;298.00;0.00;0.00;297.00;1.00;0.30
03;2021-06-25-2021-07-01;310.00;692.00;44.80;26.00;263.00;91.00;289.00;0.00;0.00;288.00;1.00;0.30
03;2021-06-26-2021-07-02;313.00;700.00;44.70;25.00;271.00;91.60;296.00;0.00;0.00;295.00;1.00;0.30
03;2021-06-27-2021-07-03;315.00;709.00;44.40;24.00;274.00;91.90;298.00;0.00;0.00;297.00;1.00;0.30
03;2021-06-28-2021-07-04;315.00;723.00;43.60;24.00;274.00;91.90;298.00;0.00;0.00;297.00;1.00;0.30
03;2021-06-29-2021-07-05;293.00;760.00;38.60;14.00;264.00;95.00;278.00;0.00;0.00;277.00;1.00;0.40
03;2021-06-30-2021-07-06;304.00;743.00;40.90;20.00;268.00;93.10;288.00;0.00;0.00;287.00;1.00;0.30
03;2021-07-01-2021-07-07;314.00;752.00;41.80;19.00;278.00;93.60;297.00;0.00;0.00;293.00;4.00;1.30
03;2021-07-02-2021-07-08;294.00;731.00;40.20;17.00;264.00;94.00;281.00;0.00;0.00;277.00;4.00;1.40
03;2021-07-03-2021-07-09;305.00;703.00;43.40;18.00;272.00;93.80;290.00;0.00;0.00;284.00;6.00;2.10
03;2021-07-04-2021-07-10;299.00;702.00;42.60;22.00;262.00;92.30;284.00;0.00;0.00;277.00;7.00;2.50
03;2021-07-05-2021-07-11;299.00;700.00;42.70;22.00;262.00;92.30;284.00;0.00;0.00;277.00;7.00;2.50
03;2021-07-06-2021-07-12;334.00;709.00;47.10;25.00;292.00;92.10;317.00;0.00;0.00;310.00;7.00;2.20
03;2021-07-07-2021-07-13;306.00;703.00;43.50;20.00;269.00;93.10;289.00;0.00;0.00;281.00;8.00;2.80
03;2021-07-08-2021-07-14;235.00;615.00;38.20;16.00;209.00;92.90;225.00;0.00;0.00;220.00;5.00;2.20
03;2021-07-09-2021-07-15;244.00;666.00;36.60;20.00;213.00;91.40;233.00;0.00;0.00;227.00;6.00;2.60
03;2021-07-10-2021-07-16;258.00;678.00;38.10;28.00;220.00;88.70;248.00;0.00;0.00;240.00;8.00;3.20
03;2021-07-11-2021-07-17;275.00;692.00;39.70;25.00;238.00;90.50;263.00;0.00;0.00;256.00;7.00;2.70
03;2021-07-12-2021-07-18;280.00;703.00;39.80;27.00;240.00;89.90;267.00;0.00;0.00;260.00;7.00;2.60
03;2021-07-13-2021-07-19;275.00;735.00;37.40;31.00;229.00;88.10;259.00;0.00;0.00;246.00;13.00;5.00
03;2021-07-14-2021-07-20;333.00;783.00;42.50;37.00;269.00;87.90;305.00;0.00;0.00;289.00;16.00;5.20
03;2021-07-15-2021-07-21;430.00;915.00;47.00;53.00;345.00;86.70;397.00;0.00;0.00;368.00;29.00;7.30
03;2021-07-16-2021-07-22;452.00;897.00;50.40;66.00;348.00;84.10;413.00;0.00;0.00;371.00;42.00;10.20
03;2021-07-17-2021-07-23;447.00;893.00;50.10;81.00;324.00;80.00;404.00;0.00;0.00;343.00;61.00;15.10
03;2021-07-18-2021-07-24;434.00;893.00;48.60;87.00;307.00;77.90;393.00;0.00;0.00;326.00;67.00;17.00
03;2021-07-19-2021-07-25;434.00;882.00;49.20;86.00;309.00;78.20;394.00;0.00;0.00;326.00;68.00;17.30
03;2021-07-20-2021-07-26;418.00;856.00;48.80;99.00;283.00;74.10;382.00;0.00;0.00;299.00;83.00;21.70
03;2021-07-21-2021-07-27;427.00;830.00;51.40;132.00;269.00;67.10;401.00;0.00;0.00;282.00;119.00;29.70
03;2021-07-22-2021-07-28;398.00;783.00;50.80;152.00;222.00;59.40;374.00;0.00;0.00;234.00;141.00;37.60
03;2021-07-23-2021-07-29;375.00;814.00;46.10;152.00;204.00;57.30;356.00;0.00;0.00;214.00;143.00;40.10
03;2021-07-24-2021-07-30;360.00;801.00;44.90;152.00;190.00;55.60;342.00;0.00;0.00;197.00;146.00;42.60
03;2021-07-25-2021-07-31;361.00;796.00;45.40;152.00;188.00;55.30;340.00;0.00;0.00;194.00;147.00;43.10
03;2021-07-26-2021-08-01;358.00;791.00;45.30;151.00;185.00;55.10;336.00;0.00;0.00;191.00;146.00;43.30
03;2021-07-27-2021-08-02;368.00;840.00;43.80;175.00;170.00;49.30;344.00;0.00;0.00;177.00;169.00;48.80
03;2021-07-28-2021-08-03;368.00;868.00;42.40;191.00;151.00;44.20;341.00;0.00;0.00;157.00;186.00;54.20
03;2021-07-29-2021-08-04;394.00;889.00;44.30;216.00;150.00;41.00;365.00;0.00;0.00;154.00;212.00;57.90
03;2021-07-30-2021-08-05;421.00;904.00;46.60;251.00;141.00;36.00;391.00;0.00;0.00;146.00;248.00;62.90
03;2021-07-31-2021-08-06;437.00;936.00;46.70;281.00;129.00;31.50;409.00;0.00;0.00;133.00;281.00;67.90
03;2021-08-01-2021-08-07;428.00;962.00;44.50;278.00;125.00;31.00;402.00;0.00;0.00;129.00;278.00;68.30
03;2021-08-02-2021-08-08;429.00;965.00;44.50;280.00;125.00;30.90;404.00;0.00;0.00;129.00;280.00;68.50
03;2021-08-03-2021-08-09;495.00;1030.00;48.10;340.00;126.00;27.00;466.00;0.00;0.00;129.00;342.00;72.60
03;2021-08-04-2021-08-10;535.00;1076.00;49.70;386.00;120.00;23.70;506.00;0.00;0.00;123.00;388.00;75.90
03;2021-08-05-2021-08-11;582.00;1178.00;49.40;427.00;118.00;21.70;545.00;0.00;0.00;124.00;430.00;77.60
03;2021-08-06-2021-08-12;654.00;1244.00;52.60;482.00;130.00;21.20;612.00;0.00;0.00;140.00;479.00;77.40
03;2021-08-07-2021-08-13;722.00;1322.00;54.60;532.00;143.00;21.20;675.00;0.00;0.00;155.00;525.00;77.20
03;2021-08-08-2021-08-14;758.00;1349.00;56.20;560.00;150.00;21.10;710.00;0.00;0.00;162.00;553.00;77.30
03;2021-08-09-2021-08-15;761.00;1359.00;56.00;562.00;150.00;21.10;712.00;0.00;0.00;162.00;555.00;77.40
03;2021-08-10-2021-08-16;780.00;1377.00;56.60;584.00;148.00;20.20;732.00;0.00;0.00;161.00;575.00;78.10
03;2021-08-11-2021-08-17;779.00;1458.00;53.40;594.00;135.00;18.50;729.00;0.00;0.00;147.00;586.00;79.90
03;2021-08-12-2021-08-18;766.00;1512.00;50.70;607.00;116.00;16.00;723.00;0.00;0.00;126.00;597.00;82.60
03;2021-08-13-2021-08-19;800.00;1529.00;52.30;653.00;103.00;13.60;756.00;0.00;0.00;111.00;645.00;85.30
03;2021-08-14-2021-08-20;755.00;1586.00;47.60;622.00;93.00;13.00;715.00;0.00;0.00;99.00;616.00;86.20
03;2021-08-15-2021-08-21;778.00;1629.00;47.80;645.00;91.00;12.40;736.00;0.00;0.00;97.00;639.00;86.80
03;2021-08-16-2021-08-22;774.00;1626.00;47.60;643.00;90.00;12.30;733.00;0.00;0.00;96.00;637.00;86.90
03;2021-08-17-2021-08-23;806.00;1686.00;47.80;682.00;82.00;10.70;764.00;0.00;0.00;87.00;677.00;88.60
03;2021-08-18-2021-08-24;833.00;1693.00;49.20;720.00;77.00;9.70;797.00;0.00;0.00;82.00;715.00;89.70
03;2021-08-19-2021-08-25;903.00;1653.00;54.60;779.00;73.00;8.60;852.00;0.00;0.00;78.00;774.00;90.80
03;2021-08-20-2021-08-26;893.00;1666.00;53.60;770.00;64.00;7.70;834.00;0.00;0.00;69.00;765.00;91.70
03;2021-08-21-2021-08-27;975.00;1656.00;58.90;854.00;62.00;6.80;916.00;0.00;0.00;67.00;849.00;92.70
03;2021-08-22-2021-08-28;965.00;1671.00;57.70;847.00;59.00;6.50;906.00;0.00;0.00;65.00;841.00;92.80
03;2021-08-23-2021-08-29;966.00;1660.00;58.20;848.00;59.00;6.50;907.00;0.00;0.00;65.00;842.00;92.80
03;2021-08-24-2021-08-30;1008.00;1665.00;60.50;886.00;57.00;6.00;943.00;0.00;0.00;62.00;881.00;93.40
03;2021-08-25-2021-08-31;1041.00;1658.00;62.80;916.00;55.00;5.70;971.00;0.00;0.00;59.00;913.00;93.90
03;2021-08-26-2021-09-01;1013.00;1669.00;60.70;904.00;53.00;5.50;957.00;0.00;0.00;59.00;899.00;93.80
03;2021-08-27-2021-09-02;1027.00;1629.00;63.00;931.00;52.00;5.30;983.00;0.00;0.00;55.00;930.00;94.40
03;2021-08-28-2021-09-03;966.00;1552.00;62.20;877.00;45.00;4.90;922.00;0.00;0.00;48.00;876.00;94.80
03;2021-08-29-2021-09-04;944.00;1476.00;64.00;853.00;46.00;5.10;899.00;0.00;0.00;48.00;854.00;94.70
03;2021-08-30-2021-09-05;944.00;1493.00;63.20;853.00;46.00;5.10;899.00;0.00;0.00;48.00;854.00;94.70
03;2021-08-31-2021-09-06;935.00;1433.00;65.20;856.00;33.00;3.70;889.00;0.00;0.00;38.00;854.00;95.70
03;2021-09-01-2021-09-07;900.00;1400.00;64.30;835.00;21.00;2.50;855.00;1.00;0.10;27.00;832.00;96.90
03;2021-09-02-2021-09-08;873.00;1393.00;62.70;800.00;21.00;2.60;820.00;1.00;0.10;25.00;799.00;97.00
03;2021-09-03-2021-09-09;866.00;1412.00;61.30;774.00;26.00;3.20;799.00;1.00;0.10;31.00;771.00;96.10
03;2021-09-04-2021-09-10;920.00;1479.00;62.20;833.00;22.00;2.60;854.00;1.00;0.10;27.00;831.00;96.90
03;2021-09-05-2021-09-11;929.00;1511.00;61.50;847.00;20.00;2.30;866.00;1.00;0.10;26.00;843.00;97.00
03;2021-09-06-2021-09-12;928.00;1517.00;61.20;846.00;20.00;2.30;865.00;1.00;0.10;26.00;842.00;97.00
03;2021-09-07-2021-09-13;897.00;1543.00;58.10;819.00;19.00;2.30;837.00;1.00;0.10;23.00;819.00;97.30
03;2021-09-08-2021-09-14;917.00;1595.00;57.50;823.00;19.00;2.30;841.00;1.00;0.10;23.00;822.00;97.30
03;2021-09-09-2021-09-15;963.00;1676.00;57.50;865.00;14.00;1.60;877.00;2.00;0.20;17.00;866.00;98.10
03;2021-09-10-2021-09-16;982.00;1727.00;56.90;909.00;7.00;0.80;913.00;3.00;0.30;8.00;912.00;99.10
03;2021-09-11-2021-09-17;952.00;1760.00;54.10;882.00;6.00;0.70;885.00;3.00;0.30;7.00;884.00;99.20
03;2021-09-12-2021-09-18;948.00;1782.00;53.20;882.00;4.00;0.50;883.00;3.00;0.30;4.00;885.00;99.60
03;2021-09-13-2021-09-19;955.00;1770.00;54.00;888.00;4.00;0.40;889.00;3.00;0.30;4.00;891.00;99.60
03;2021-09-14-2021-09-20;997.00;1785.00;55.90;934.00;1.00;0.10;932.00;3.00;0.30;1.00;936.00;99.90
03;2021-09-15-2021-09-21;1018.00;1807.00;56.30;967.00;1.00;0.10;966.00;2.00;0.20;1.00;970.00;99.90
03;2021-09-16-2021-09-22;1000.00;1795.00;55.70;961.00;5.00;0.50;965.00;1.00;0.10;6.00;962.00;99.40
03;2021-09-17-2021-09-23;984.00;1830.00;53.80;935.00;8.00;0.80;941.00;2.00;0.20;11.00;935.00;98.80
03;2021-09-18-2021-09-24;983.00;1871.00;52.50;927.00;8.00;0.90;933.00;2.00;0.20;11.00;928.00;98.80
03;2021-09-19-2021-09-25;1010.00;1884.00;53.60;954.00;8.00;0.80;960.00;2.00;0.20;11.00;955.00;98.90
